DEPT_SHORT_NAME,PROF,ASSOC_PROF,ASST_PROF,TOTAL
AEROSPACE ENG,10,6,8,24
AESHM,6,10,9,25
AG/BIOSYS ENG,15,9,4,28
AGRONOMY,25,6,4,35
ANIMAL SCIENCE,23,7,10,40
BBMB,16,5,4,25
CHEM & BIO ENGR,8,8,4,20
CHEMISTRY,17,3,8,28
CIV/CON/ENV ENG,10,9,10,29
COMPUTER SC,14,8,7,29
ECONOMICS,15,9,10,34
EEOB,11,7,5,23
ELEC ENG/CP ENG,26,14,6,46
ENGLISH,11,17,9,37
FOOD SC/HN,6,12,10,28
GDCB,13,3,7,23
HISTORY,9,6,6,21
HUMAN DV/FAM ST,8,7,7,22
MATHEMATICS,13,12,10,35
MECHANICAL ENG,13,13,11,37
MUSIC & THEATRE,7,9,6,22
PHYSICS/ASTRON,25,4,7,36
PYSCHOLOGY,11,11,4,26
SCHOOL OF ED,5,10,21,36
SOCIOLOGY,13,4,3,20
STATISTICS,15,9,7,31
WORLD LANG/CULT,2,18,5,25
